date,transaction_cost,ter_cost,cum_transaction_cost,cum_ter_cost
2005-01-03,0.0,9.166666666666668e-06,0.0,9.166666666666668e-06
2005-01-04,0.0,9.166666666666668e-06,0.0,1.8333333333333336e-05
2005-01-05,0.0,9.166666666666668e-06,0.0,2.7500000000000004e-05
2005-01-06,0.0,9.166666666666668e-06,0.0,3.666666666666667e-05
2005-01-07,0.0,9.166666666666668e-06,0.0,4.583333333333334e-05
2005-01-10,0.0008,5.5158730158730166e-06,0.0008,5.134920634920636e-05
2005-01-11,0.0,5.5158730158730166e-06,0.0008,5.6865079365079374e-05
2005-01-12,0.0,5.5158730158730166e-06,0.0008,6.238095238095239e-05
2005-01-13,0.0,5.5158730158730166e-06,0.0008,6.789682539682541e-05
2005-01-14,0.0014,5.2380952380952384e-06,0.0022,7.313492063492064e-05
2005-01-18,0.0,5.2380952380952384e-06,0.0022,7.837301587301588e-05
2005-01-19,0.0,5.2380952380952384e-06,0.0022,8.361111111111111e-05
2005-01-20,0.0014,3.5714285714285714e-06,0.0036,8.718253968253969e-05
2005-01-21,0.0,3.5714285714285714e-06,0.0036,9.075396825396826e-05
2005-01-24,0.0,3.5714285714285714e-06,0.0036,9.432539682539683e-05
2005-01-25,0.0,3.5714285714285714e-06,0.0036,9.78968253968254e-05
2005-01-26,0.0,3.5714285714285714e-06,0.0036,0.00010146825396825398
2005-01-27,0.0,3.5714285714285714e-06,0.0036,0.00010503968253968255
2005-01-28,0.0,3.5714285714285714e-06,0.0036,0.00010861111111111112
2005-01-31,0.0,3.5714285714285714e-06,0.0036,0.0001121825396825397
2005-02-01,0.0,3.5714285714285714e-06,0.0036,0.00011575396825396827
2005-02-02,0.0,3.5714285714285714e-06,0.0036,0.00011932539682539684
2005-02-03,0.0,3.5714285714285714e-06,0.0036,0.0001228968253968254
2005-02-04,0.0008,2.777777777777778e-06,0.0044,0.0001256746031746032
2005-02-07,0.0,2.777777777777778e-06,0.0044,0.00012845238095238098
2005-02-08,0.0,2.777777777777778e-06,0.0044,0.00013123015873015877
2005-02-09,0.0,2.777777777777778e-06,0.0044,0.00013400793650793655
2005-02-10,0.0,2.777777777777778e-06,0.0044,0.00013678571428571434
2005-02-11,0.0,2.777777777777778e-06,0.0044,0.00013956349206349213
2005-02-14,0.0,2.777777777777778e-06,0.0044,0.00014234126984126992
2005-02-15,0.002,9.166666666666668e-06,0.0064,0.00015150793650793657
2005-02-16,0.0,9.166666666666668e-06,0.0064,0.00016067460317460323
2005-02-17,0.0,9.166666666666668e-06,0.0064,0.00016984126984126988
2005-02-18,0.0,9.166666666666668e-06,0.0064,0.00017900793650793654
2005-02-22,0.0,9.166666666666668e-06,0.0064,0.0001881746031746032
2005-02-23,0.0,9.166666666666668e-06,0.0064,0.00019734126984126985
2005-02-24,0.0008,5.5158730158730166e-06,0.007200000000000001,0.00020285714285714286
2005-02-25,0.0,5.5158730158730166e-06,0.007200000000000001,0.00020837301587301588
2005-02-28,0.0014,5.2380952380952384e-06,0.0086,0.00021361111111111111
2005-03-01,0.0002,4.3253968253968256e-06,0.0088,0.00021793650793650794
2005-03-02,0.0,4.3253968253968256e-06,0.0088,0.00022226190476190477
2005-03-03,0.0,4.3253968253968256e-06,0.0088,0.0002265873015873016
2005-03-04,0.0,4.3253968253968256e-06,0.0088,0.00023091269841269842
2005-03-07,0.0,4.3253968253968256e-06,0.0088,0.00023523809523809524
2005-03-08,0.0,4.3253968253968256e-06,0.0088,0.00023956349206349207
2005-03-09,0.0,4.3253968253968256e-06,0.0088,0.0002438888888888889
2005-03-10,0.0,4.3253968253968256e-06,0.0088,0.00024821428571428575
2005-03-11,0.0,4.3253968253968256e-06,0.0088,0.00025253968253968257
2005-03-14,0.0,4.3253968253968256e-06,0.0088,0.0002568650793650794
2005-03-15,0.0,4.3253968253968256e-06,0.0088,0.0002611904761904762
2005-03-16,0.0,4.3253968253968256e-06,0.0088,0.00026551587301587305
2005-03-17,0.0,4.3253968253968256e-06,0.0088,0.0002698412698412699
2005-03-18,0.0,4.3253968253968256e-06,0.0088,0.0002741666666666667
