timestamp,asset,strike,direction,size,entry_price,theoretical_prob,polymarket_price,spread,pnl
2026-03-29T17:20:49.147759+00:00,Bitcoin,1.0,buy_yes,900.0,0.4905,0.9999,0.4905,0.5080000000000001,457.2000000000001
2026-03-29T17:20:49.373968+00:00,Bitcoin,2026.0,buy_yes,900.0,0.0235,0.9999,0.0235,0.9750000000000001,877.5000000000001
2026-03-29T18:33:11.105989+00:00,Bitcoin,0.0,close,900.0,0.4905,0.9999,0.4905,0.0,0.0
2026-03-29T18:33:11.215004+00:00,Bitcoin,0.0,close,900.0,0.0235,0.9999,0.0235,0.0,0.0
2026-03-29T18:33:44.717293+00:00,Bitcoin,0.0,close,900.0,0.4905,0.9999,0.4905,0.0,0.0
2026-03-29T18:33:44.817567+00:00,Bitcoin,0.0,close,900.0,0.0235,0.9999,0.0235,0.0,0.0
2026-04-05T09:04:24.044414+00:00,XRP,1.2,buy_yes,900.0,0.95344,0.981924136780661,0.95344,0.027084136780661086,24.37572310259498
2026-04-05T09:04:25.926620+00:00,XRP,1.2,buy_yes,900.0,0.9393,0.9665271454949115,0.9393,0.025827145494911455,23.24443094542031
2026-04-05T09:04:27.652838+00:00,XRP,1.2,buy_yes,900.0,0.8686,0.9502539720744977,0.8686,0.08025397207449765,72.22857486704788
2026-04-05T09:04:29.416615+00:00,XRP,1.2,buy_yes,900.0,0.87365,0.9342784675865613,0.87365,0.059228467586561265,53.30562082790514
2026-04-06T14:16:46.593012+00:00,XRP,1.3,buy_yes,900.0,0.8231499999999999,0.885013879385937,0.8231499999999999,0.06086387938593707,54.777491447343365
2026-04-06T14:16:46.716774+00:00,XRP,1.3,buy_yes,900.0,0.7827500000000001,0.8370993700683631,0.7827500000000001,0.053349370068363045,48.01443306152674
2026-04-06T14:16:46.828926+00:00,XRP,1.3,buy_yes,900.0,0.70195,0.755519699874247,0.70195,0.05256969987424709,47.31272988682238
2026-04-06T14:16:46.938980+00:00,XRP,1.3,buy_yes,900.0,0.75245,0.8025137548420764,0.75245,0.04906375484207648,44.157379357868834
2026-04-06T14:16:47.046595+00:00,XRP,1.3,buy_yes,900.0,0.90395,0.9529835281436179,0.90395,0.04803352814361783,43.23017532925605
2026-04-06T14:18:24.799276+00:00,XRP,1.3,buy_yes,449.3917307339016,0.7272,0.7749703521709568,0.7272,0.04677035217095682,21.018209509140377
2026-04-06T14:18:24.909913+00:00,Bitcoin,66000.0,buy_yes,598.5,0.87365,0.91544591031518,0.87365,0.04079591031517993,24.416352323635188
2026-04-06T14:21:40.461753+00:00,Bitcoin,68000.0,buy_yes,267.8687599283039,0.80295,0.8477682655487442,0.80295,0.04381826554874413,11.73754445475121
2026-04-06T14:21:40.584147+00:00,Bitcoin,68000.0,buy_yes,162.70249255229004,0.6817500000000001,0.7257162229326589,0.6817500000000001,0.04296622293265884,6.990711566700958
2026-04-06T14:23:15.564690+00:00,Ethereum,2100.0,buy_yes,103.11395659010498,0.7726500000000001,0.8381760090455163,0.7726500000000001,0.0645260090455162,6.6535320956520785
2026-04-06T14:23:15.672015+00:00,Ethereum,2100.0,buy_yes,83.85434983770021,0.6969,0.7585217587713192,0.6969,0.060621758771319256,5.083398167786877
2026-04-06T14:23:15.791249+00:00,Ethereum,2200.0,buy_yes,32.54489212866204,0.2222,0.2835724318578385,0.2222,0.06037243185783847,1.9648142823583528
2026-04-06T14:23:15.901806+00:00,Ethereum,2200.0,buy_yes,31.553378465786487,0.28280000000000005,0.33766668290118185,0.28280000000000005,0.053866682901181795,1.6996758322774987
2026-04-06T14:23:16.011373+00:00,Ethereum,2100.0,buy_yes,65.81225499979648,0.6615500000000001,0.7155537412035904,0.6615500000000001,0.053003741203590304,3.4882957320339045
2026-04-06T14:55:32.437305+00:00,Bitcoin,68000.0,buy_yes,26.57503781322207,0.73225,0.7814682219149275,0.73225,0.04821822191492753,1.281401070675532
2026-04-06T16:49:12.508476+00:00,XRP,0.9,buy_yes,24.596191289323137,0.505,0.9999,0.505,0.4939,12.148058877796698
2026-04-06T16:49:12.653767+00:00,XRP,1.0,buy_yes,24.596191289323137,0.505,0.9999,0.505,0.4939,12.148058877796698
2026-04-06T16:49:12.780680+00:00,XRP,1.1,buy_yes,24.596191289323137,0.505,0.9998823652375106,0.505,0.4938823652375106,12.147625129805167
