asset,quadrant,annual_return,sharpe,max_drawdown,nb_days
COMMODITIES,1,-0.041353296739748635,-0.2584074603935646,0.555444129040285,1369
COMMODITIES,2,0.37986395803840645,2.483342551539768,0.11664524044667322,1692
COMMODITIES,3,0.38845569638570526,1.7783925602740176,0.25630241111414126,739
COMMODITIES,4,-0.5954355079051722,-2.461769100948506,0.9540701300847932,1221
GOLD_OZ_USD,1,-0.06708658501003177,-0.4509068646658613,0.5069624791154949,1410
GOLD_OZ_USD,2,0.2689772094069762,1.70825297071057,0.2810541524716293,1807
GOLD_OZ_USD,3,0.31602268090321234,1.6499376509899426,0.16085944431767396,768
GOLD_OZ_USD,4,0.031685464458200974,0.1467366681665607,0.474801328616033,1311
NASDAQ_100,1,0.39444261884229187,2.5712203911081244,0.16799812168217956,1410
NASDAQ_100,2,0.33695028594337745,2.084764298512682,0.1681246972369426,1807
NASDAQ_100,3,0.1613503327038339,0.7622886660824025,0.33044258911981295,768
NASDAQ_100,4,-0.32848184421660326,-1.0383557615447832,0.8667426868998938,1311
OBLIGATION,1,-0.013595384204417957,-0.24102526282796613,0.14079826931750294,1410
OBLIGATION,2,0.06906618199597385,1.178315076477659,0.13047983546943331,1807
OBLIGATION,3,0.05968986561087323,0.6820294396309142,0.14724942026433413,768
OBLIGATION,4,0.05895578344730883,0.4556278322369931,0.21762124239171715,1311
SP500,1,0.3126144368930291,2.690635561507454,0.1004177442458948,1410
SP500,2,0.3120455906258903,2.443719699891262,0.12605144013054012,1807
SP500,3,0.16091024517753277,0.8817697117506306,0.2568457275482286,768
SP500,4,-0.37718276688213637,-1.2666624080952926,0.8936956863052233,1311
SmallCAP,1,0.3101123892786482,1.9010967633141778,0.20860321709435906,1410
SmallCAP,2,0.41010970518494894,2.255529331938965,0.14856752413401905,1807
SmallCAP,3,0.1442581358684223,0.5903918371012782,0.3483027014149199,768
SmallCAP,4,-0.534392066405759,-1.5175282285568636,0.9581182349658494,1311
TREASURY_10Y,1,-0.06721707035308382,-1.1741200504501037,0.3229607687155606,1410
TREASURY_10Y,2,0.016081383502052356,0.2765259119880216,0.17040018871865872,1807
TREASURY_10Y,3,0.08252551450255938,1.1222118263779477,0.06715406223796407,768
TREASURY_10Y,4,0.14107701101105727,1.6680987145488904,0.09130269592690093,1311
US_REIT_VNQ,1,0.243159834765107,1.6459285785800342,0.11782014772000493,1410
US_REIT_VNQ,2,0.25404041201247923,1.5588031109382807,0.16447391994225669,1807
US_REIT_VNQ,3,0.34652689760338545,1.0334885328988865,0.3118188460374629,768
US_REIT_VNQ,4,-0.3827407656968862,-0.8425726844304777,0.9331360939651405,1311
