Date,INTL_BONDS,EU_SMALL_CAP,EURO_STOXX_50,GOLD
2007-08-17,,28.714269638061523,31.020587921142578,65.01000213623047
2007-08-20,,28.79681396484375,30.790639877319336,65.12000274658203
2007-08-21,,28.471006393432617,30.713993072509766,65.06999969482422
2007-08-22,,29.2746639251709,31.414785385131836,65.4000015258789
2007-08-23,,29.474485397338867,31.332645416259766,65.30999755859375
2007-08-24,,30.1043701171875,32.04438781738281,66.11000061035156
2007-08-27,,29.921934127807617,31.748750686645508,65.9800033569336
2007-08-28,,29.109590530395508,30.87824821472168,65.58999633789062
2007-08-29,,30.178232192993164,31.75969886779785,66.06999969482422
2007-08-30,,29.878488540649414,31.568090438842773,65.80000305175781
2007-08-31,,30.42584991455078,32.049869537353516,66.5199966430664
2007-09-04,,30.734272003173828,32.279815673828125,67.44000244140625
2007-09-05,,30.36936378479004,31.743257522583008,67.55999755859375
2007-09-06,,30.430187225341797,31.923946380615234,68.86000061035156
2007-09-07,,30.13913345336914,31.464065551757812,69.38999938964844
2007-09-10,,30.04789924621582,31.51880645751953,69.62000274658203
2007-09-11,,30.282487869262695,31.967742919921875,70.5199966430664
2007-09-12,,30.27814292907715,32.011539459228516,70.45999908447266
2007-09-13,,30.165203094482422,32.21958923339844,70.08000183105469
2007-09-14,,29.791614532470703,32.0717658996582,69.98999786376953
2007-09-17,,29.109590530395508,31.787073135375977,70.97000122070312
2007-09-18,,29.882837295532227,33.18864440917969,71.69999694824219
2007-09-19,,29.778573989868164,33.40216827392578,71.43000030517578
2007-09-20,,29.778573989868164,33.55545425415039,72.72000122070312
2007-09-21,,29.995777130126953,33.75448226928711,72.33999633789062
2007-09-24,,29.84374237060547,33.54005813598633,72.27999877929688
2007-09-25,,29.656940460205078,33.60053253173828,72.33000183105469
2007-09-26,,29.6004638671875,33.770992279052734,72.0
2007-09-27,,30.043563842773438,34.089900970458984,72.69999694824219
2007-09-28,,30.11306381225586,34.24385070800781,73.51000213623047
2007-10-01,,30.186922073364258,34.5682487487793,73.9000015258789
2007-10-02,,30.30854034423828,34.375816345214844,72.3499984741211
2007-10-03,,30.33026885986328,34.15037155151367,71.9000015258789
2007-10-04,,30.75598907470703,34.27685546875,72.87000274658203
2007-10-05,,30.80811309814453,34.52976989746094,73.4000015258789
2007-10-08,,30.76032257080078,34.17237091064453,72.52999877929688
2007-10-09,,30.960153579711914,34.48579025268555,73.08999633789062
2007-10-10,,30.903690338134766,34.386802673339844,73.36000061035156
2007-10-11,20.093721389770508,31.086130142211914,34.57925796508789,73.91000366210938
2007-10-12,20.028112411499023,31.129594802856445,34.69471740722656,74.58999633789062
2007-10-15,19.97792625427246,31.094825744628906,34.469268798828125,75.13999938964844
2007-10-16,19.985645294189453,30.716896057128906,34.18335723876953,75.12000274658203
